ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
1;Z MATERIALNO ŠKODO;LITIJA;01.01.2026;4;NE;CESTA;GLAVNA CESTA II. REDA;00108;LJ ÈRNUÈE - ZIDANI MOST;01183;LITIJA-ZAGORJE;11500;CESTA;OSTALO;POVOŽENJE ŽIVALI;JASNO;REDEK;SUHO;ASFALT;106834;496973;1;UDELEŽENEC;51;ŽENSKI;LITIJA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;32;07;,00;,00
2;Z MATERIALNO ŠKODO;;01.01.2026;12;NE;CESTA;HITRA CESTA;000H5;ŠKOFIJE-KOPER-DRAGONJA;00457;PRIKLJUÈEK ŠKOFIJE;500;CESTA;NEPRILAGOJENA HITROST;OSTALO;JASNO;REDEK;VLAŽNO;ASFALT;48070;405176;1;UDELEŽENEC;-1;;CELJE;SLOVENIJA;;PRAVNA OSEBA;;0;0;,00;,00
2;Z MATERIALNO ŠKODO;;01.01.2026;12;NE;CESTA;HITRA CESTA;000H5;ŠKOFIJE-KOPER-DRAGONJA;00457;PRIKLJUÈEK ŠKOFIJE;500;CESTA;NEPRILAGOJENA HITROST;OSTALO;JASNO;REDEK;VLAŽNO;ASFALT;48070;405176;2;POVZROÈITELJ;40;MOŠKI;KOPER;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;16;11;,00;,00
3;Z MATERIALNO ŠKODO;JESENICE;01.01.2026;2;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;14022;RATEÈE;0;NI ODSEKOV;167;PARKIRNI PROSTOR;OSTALO;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;REDEK;VLAŽNO;ASFALT;149553;402277;1;UDELEŽENEC;44;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
4;Z MATERIALNO ŠKODO;;01.01.2026;20;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;41058;TRNJE-PIVKA;0;NI ODSEKOV;1;CESTA;OSTALO;POVOŽENJE ŽIVALI;OBLAÈNO;REDEK;VLAŽNO;ASFALT;60766;439160;1;UDELEŽENEC;25;ŽENSKI;POSTOJNA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;06;11;,00;,00
5;Z MATERIALNO ŠKODO;LJUBLJANA;01.01.2026;22;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;24073;MAJARONOVA ULICA;28;CESTA;PREMIKI Z VOZILOM;TRÈENJE V OBJEKT;DEŽEVNO;REDEK;MOKRO;ASFALT;102657;463146;1;POVZROÈITELJ;65;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;44;08;,00;,00
5;Z MATERIALNO ŠKODO;LJUBLJANA;01.01.2026;22;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;24073;MAJARONOVA ULICA;28;CESTA;PREMIKI Z VOZILOM;TRÈENJE V OBJEKT;DEŽEVNO;REDEK;MOKRO;ASFALT;102657;463146;2;;-1;;;SLOVENIJA;;;;0;0;,00;,00
6;Z MATERIALNO ŠKODO;NOVO MESTO;02.01.2026;11;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;38340;ZALOG-STRAŽA;0;NI ODSEKOV;3;CESTA;NEPRILAGOJENA HITROST;BOÈNO TRÈENJE;DEŽEVNO;REDEK;MOKRO;ASFALT;72722;509375;1;UDELEŽENEC;39;MOŠKI;DOMŽALE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;19;10;,00;,00
6;Z MATERIALNO ŠKODO;NOVO MESTO;02.01.2026;11;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;38340;ZALOG-STRAŽA;0;NI ODSEKOV;3;CESTA;NEPRILAGOJENA HITROST;BOÈNO TRÈENJE;DEŽEVNO;REDEK;MOKRO;ASFALT;72722;509375;2;POVZROÈITELJ;18;ŽENSKI;;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;00;10;,00;,00
7;Z MATERIALNO ŠKODO;LJUBLJANA;02.01.2026;18;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;26251;SREDNJA POT;2;CESTA;OSTALO;POVOŽENJE ŽIVALI;NEZNANO;NEZNANO;OSTALO;OSTALO;100472;467104;1;UDELEŽENEC;38;MOŠKI;;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;0;0;,00;,00
8;Z MATERIALNO ŠKODO;RADOVLJICA;02.01.2026;16;DA;CESTA;TURISTIÈNA CESTA;00909;BOH.BISTRICA-PETROVO BRDO;01125;BOH.BISTRICA-VRESJE;7500;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;MEGLA;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;126652;424058;1;POVZROÈITELJ;60;MOŠKI;NOVA GORICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;35;10;,00;,00
9;Z MATERIALNO ŠKODO;DOMŽALE;02.01.2026;18;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;06002;BLAGOVICA;0;NI ODSEKOV;34;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;115300;485480;1;POVZROÈITELJ;52;MOŠKI;DOMŽALE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;33;11;,00;,00
10;Z LAŽJO TELESNO POŠKODBO;DOMŽALE;03.01.2026;2;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00667;TROJANE-BLAGOVICA;350;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;OBLAÈNO;REDEK;SNEŽENO - NEPLUŽENO;ASFALT;115877;489048;1;POVZROÈITELJ;30;ŽENSKI;MARIBOR;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;09;02;,00;,00
